Symbol,Name,ISIN,CUSIP,Country,Expense_Ratio,AUM,Num_Holdings,Last_Updated,TickerIfSynth
XDDX.DE,Xtrackers DAX ESG Screened UCITS ETF 1D,LU0838782315,,LU,0.09,462298036.0,38,2025-08-16 13:20:54,
DXSA.DE,Xtrackers Euro Stoxx Quality Dividend UCITS ETF 1D 1D,LU0292095535,,LU,0.3,434072571.0,53,2025-08-16 13:20:56,
EWLD.PA,Amundi MSCI World UCITS ETF - EUR (D),LU2655993207,,LU,0.38,5738695292.0,1322,2025-08-16 13:20:58,MWRD.PA
PAASI.PA,Amundi PEA MSCI Emerging Asia ESG Leaders UCITS ETF EUR (C/D),FR0013412012,,FR,0.3,352194907.0,599,2025-08-16 13:21:01,CEBL.DE
PAEEM.PA,Amundi PEA Emergent (MSCI Emerging) ESG Transition UCITS ETF Acc,FR0013412020,,FR,0.3,316447539.0,357,2025-08-16 13:21:04,XZEM.DE
EMUE.PA,SPDR MSCI EMU UCITS ETF,,,,,,224,2025-08-16 13:21:07,
XD5D.L,Xtrackers MSCI EMU UCITS ETF 1C - USD Hedged,LU1127514245,,LU,0.17,2746671199.0,226,2025-08-16 13:21:09,
MFEC.PA,Amundi MSCI EMU UCITS ETF Acc,LU1646361276,,LU,0.12,887255132.0,224,2025-08-16 13:21:11,
VGER.DE,Vanguard Germany All Cap UCITS ETF Distributing,IE00BG143G97,G9T17W384,IE,0.1,255745476.0,147,2025-08-16 13:21:13,
SEL.PA,Amundi Stoxx Europe Select Dividend 30 UCITS ETF Dist,LU1812092168,,LU,0.3,261649355.0,42,2025-08-16 13:21:15,EXSH.DE
CD8.PA,Amundi ETF MSCI EMU High Dividend UCITS ETF EUR,FR0010717090,,FR,0.3,239412772.0,47,2025-08-16 13:21:19,
C007.DE,Amundi MDAX ESG UCITS ETF Dist,LU2611731667,,LU,0.3,216627459.0,42,2025-08-16 13:21:21,
ESEA.DE,BNP Paribas Easy S&P 500 UCITS ETF,IE00B5BMR087,,IE,0.07,110629803627.0,510,2025-08-16 13:21:23,SXR8.DE
PABZ.PA,Amundi MSCI EMU Climate Paris Aligned UCITS ETF Acc,LU2182388582,,LU,0.15,231255544.0,142,2025-08-16 13:21:26,
VAL.PA,Amundi MSCI EMU Value Factor UCITS ETF Dist,LU1598690169,,LU,0.4,224466082.0,140,2025-08-16 13:21:29,
EESG.PA,Amundi MSCI EMU SRI Climate Paris Aligned UCITS ETF DR (C),LU2109787635,,LU,0.18,202733412.0,69,2025-08-16 13:21:31,
ETZD.PA,BNP Paribas Easy STOXX Europe 600 UCITS ETF,LU0908500753,,LU,0.07,13004777020.0,613,2025-08-16 13:21:34,MEUD.PA
PCEU.PA,Amundi ETF PEA MSCI Europe UCITS ETF,FR0013412038,,FR,0.15,201398996.0,415,2025-08-16 13:21:37,EUNK.DE
EXXV.DE,iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE),DE000A0F5UG3,,DE,0.43,189416724.0,82,2025-08-16 13:21:40,
P500H.PA,Amundi PEA S&P 500 Screened UCITS ETF EUR Hedged Acc,FR0013412293,,FR,0.28,986445851.0,314,2025-08-16 13:21:42,S500H.PA
TNO.PA,Amundi STOXX Europe 600 Technology UCITS ETF Acc,LU1834988518,,LU,0.3,185762172.0,39,2025-08-16 13:21:47,EXV3.DE
CS1.PA,Amundi IBEX 35 UCITS ETF Acc,FR0010655746,,FR,0.3,534580242.0,37,2025-08-16 13:21:51,
FMI.PA,Amundi Italy MIB ESG UCITS ETF,LU1681037518,,LU,0.18,130269238.0,40,2025-08-16 13:21:54,
XDGM.DE,Xtrackers MDAX ESG Screened UCITS ETF 1D,IE00B9MRJJ36,,IE,0.4,131377981.0,47,2025-08-16 13:21:56,
PSPH.PA,Amundi PEA S&P 500 UCITS ETF EUR Hedged Acc,FR0011871136,,FR,0.12,946759443.0,511,2025-08-16 13:21:58,IBCF.DE
DCAM.PA,Amundi PEA Monde (MSCI World) UCITS ETF Acc,,,,,,1322,2025-08-16 13:22:03,MWRD.PA
18MR.MU,Amundi Russell 2000 UCITS ETF USD,,,,,,1788,2025-08-16 13:22:06,R2US.PA
AHYI.DE,Amundi PEA Dow Jones Industrial Average UCITS ETF Dist,,,,,,35,2025-08-16 13:22:11,SXRU.DE
PINR.PA,Amundi PEA Inde (MSCI India) UCITS ETF Acc,FR0011869320,,FR,0.85,112319091.0,225,2025-08-16 13:22:14,QDV5.DE
BRES.PA,Amundi STOXX Europe 600 Basic Resources UCITS ETF Acc,LU1834983550,,LU,0.3,114174943.0,28,2025-08-16 13:22:17,EXV6.DE
PDJE.PA,Amundi PEA S&P US Industrials Screened UCITS ETF Acc,FR0011869270,,FR,0.5,82351227.0,84,2025-08-16 13:22:20,2B7C.DE
INS.PA,Amundi STOXX Europe 600 Insurance UCITS ETF Acc,LU1834987973,,LU,0.3,124004694.0,40,2025-08-16 13:22:23,EXH5.DE
PRAZ.DE,Amundi Prime Eurozone UCITS ETF DR (C),LU2089238112,,LU,0.05,124087581.0,201,2025-08-16 13:22:29,
FOO.PA,Amundi STOXX Europe 600 Consumer Staples UCITS ETF Acc,LU1834985845,,LU,0.3,115289041.0,47,2025-08-15 00:01:50,
UTI.PA,Amundi STOXX Europe 600 Utilities UCITS ETF Acc,LU1834988864,,LU,0.3,92785773.0,37,2025-08-16 13:22:31,EXH9.DE
LDAX.DE,Amundi DAX III UCITS ETF Dist,,,,,,42,2025-08-16 13:22:35,
